2024-11-16 12:34:15 [ERROR]: Ошибка синхронизации базы данных:
2024-11-16 15:26:27 [ERROR]: Ошибка синхронизации базы данных: Access denied for user 'db_user'@'localhost' (using password: YES)
2024-11-18 13:54:15 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-18 13:54:26 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-18 15:44:42 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-19 00:06:59 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-19 07:28:26 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-19 08:59:38 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-19 08:59:53 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-19 17:11:51 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-19 21:14:29 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-20 05:12:01 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
2024-11-20 05:16:19 [ERROR]: ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html' ENOENT: no such file or directory, stat '/var/www/propala_rep/GitHub/opioom/site/mainpage.html'
